id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
01CE5SO2c0lhKh8ugUusVr,Rudolph The Red-Nosed Reindeer,Burl Ives,36,1999,0,130227,0.603,0.743,0.259,0.0,0,0.233,-13.715,1,0.0366,76.524,0.812,https://open.spotify.com/track/4hXAK3mjFVFOOiJQ3rKAXi
01FvQEvHETjWqcDpQDJdTb,Your Bartender,Morgan Wallen,75,2021,0,185093,0.247,0.555,0.7709999999999999,7.26e-05,4,0.149,-5.237,1,0.0282,139.971,0.442,https://open.spotify.com/track/01FvQEvHETjWqcDpQDJdTb
01N7WLJxshd4dDhK7f3WVe,Caminos de Michoacán,Federico Villa,45,2001,0,210280,0.565,0.598,0.42,0.0,10,0.345,-7.19,1,0.0354,123.515,0.7659999999999999,https://open.spotify.com/track/2fvisKVcmhGrZdf9FPEhl4
01QJoLzpz8Z74gtirjqZmo,Preaching The End Of The World,Chris Cornell,37,1999,0,278893,0.162,0.488,0.645,0.0,9,0.1169999999999999,-4.1610000000000005,1,0.0295,129.92600000000002,0.298,https://open.spotify.com/track/3kDWlqhPyV2qy66j6z5SNp
01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION,76,2018,0,186268,0.1,0.414,0.416,0.179,11,0.131,-8.024,0,0.0251,159.91,0.196,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust,72,2018,0,215111,0.674,0.7909999999999999,0.267,0.534,5,0.102,-11.997,1,0.0415,165.99,0.544,https://open.spotify.com/track/01TyFEZu6mHbffsVfxgrFn
01WQmmvBh3sxX6rDVAGMfF,First of the Year (Equinox),Skrillex,0,2011,0,261517,0.0071099999999999,0.429,0.948,0.0148,5,0.0812,-3.657,0,0.2269999999999999,115.785,0.55,https://open.spotify.com/track/5i7fZq3chLyCHo3VeB6goD
01YROQCnF1AQm7SCWJmD2o,This Is Halloween,The Citizens of Halloween,58,2006,0,196560,0.768,0.569,0.508,0.0,7,0.145,-12.823,1,0.0502,167.62400000000005,0.647,https://open.spotify.com/track/3TjhLjBbR74kY1MicLTD9n
01apQz7E72krU1k1b4VWs7,Raining Tacos,Parry Gripp,58,2013,0,92283,0.0445,0.495,0.8690000000000001,0.0,8,0.119,-4.35,1,0.1639999999999999,138.089,0.615,https://open.spotify.com/track/01apQz7E72krU1k1b4VWs7
01gwPP2h3ajRnqiIphUtR7,ABC,The Jackson 5,59,2000,0,177427,0.426,0.725,0.804,0.000504,8,0.108,-7.84,1,0.0393,93.668,0.961,https://open.spotify.com/track/6cb0HzFQPN4BGADOmSzPCw
01jIO8SJFnpSiNLH1JaBZ5,You,Jacquees,69,2018,1,217387,0.413,0.735,0.4529999999999999,0.0,8,0.104,-8.264,0,0.0602,115.002,0.335,https://open.spotify.com/track/01jIO8SJFnpSiNLH1JaBZ5
01ksPzu3Bw8Lsf9o6xIk8C,Mi Último Deseo,Banda Los Recoditos,71,2013,0,163560,0.62,0.8440000000000001,0.639,0.0,11,0.46,-4.461,0,0.0437,121.033,0.974,https://open.spotify.com/track/01ksPzu3Bw8Lsf9o6xIk8C
01oPNCtTniFT3YM4K3ksTf,Opposite of Adults,Chiddy Bang,56,2010,0,191600,0.011,0.674,0.899,0.0,9,0.327,-5.115,1,0.193,95.999,0.604,https://open.spotify.com/track/22wKQbMH8n7wZfso2VcLJL
01sp62WnjW71MvePJXlzqi,Como Mirarte,Sebastian Yatra,1,2021,0,228080,0.71,0.347,0.353,0.0,0,0.31,-7.3210000000000015,1,0.0341,172.983,0.201,https://open.spotify.com/track/3LCEPpWeFpp6EONBsL2qbk
01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,Mac Miller,73,2018,0,161840,0.89,0.272,0.238,0.00925,2,0.275,-12.148,0,0.0349,83.507,0.119,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR
